User_ID,Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_ID,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,IP_Address,Device_ID,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
U1024,56,Male,Germany,Unemployed,82543,98489,69,High,725,Quarterly,786,10231,16,Bonds,"Berger, Watson and Robinson",10.67,2.54,0.18,169505,36123,73660,26,No,fa978259-a827-42c4-a082-ac0ff14cc5e5,1018,21-04-22,No,0.7,Single,2,Bachelor's,Good,87,Rent,121845,2251,0.07,Expert,Healthcare,Yes,0.5,Yes,No,No,Defined Benefit,Dynamic,ATM,196.93.231.46,45ed1bdc-9ffb-4954-afde-7b7b6680c7e0,East Kaylaville,12:37:15,0.58,No,25
U1025,37,Other,UK,Self-employed,141502,172453,64,Medium,734,Monthly,299,7559,11,Mutual Fund,Davis and Sons,7.85,1.06,1.45,433383,19053,62645,14,No,81c45746-391a-4393-b4ea-e17f2b2e7bb4,4100,19-01-23,Yes,0.01,Widowed,4,Master's,Poor,77,Mortgage,25138,9314,0.12,Intermediate,Home Purchase,Yes,0.56,No,No,No,Defined Benefit,Fixed,Online,204.229.175.137,0dbb7f3a-854a-4e98-88f9-01b96b57ab4f,Orozcofurt,19:47:49,0.63,No,14
U1026,43,Male,Australia,Self-employed,121072,17031,67,High,386,Quarterly,695,3188,4,Stocks,"Daniels, Burns and Chapman",9.45,1.96,0.19,661518,34327,9019,26,Yes,c1ba6964-ab3a-4f45-84ea-3c211bbb7de8,885,28-09-23,No,0.76,Married,3,Bachelor's,Poor,77,Own,173841,9033,0.26,Intermediate,Home Purchase,Yes,0.76,No,No,Yes,Defined Contribution,Dynamic,ATM,165.247.32.189,50aab4a0-8e29-44a9-a9b9-44cc64e2c123,Curtiston,10:18:25,0.09,No,23
U1027,28,Female,Australia,Unemployed,115679,210492,60,Low,1131,Monthly,92,10018,10,ETF,Zamora Group,7.05,1.56,1.99,745872,20757,52009,25,Yes,c1f0cea8-c26d-4757-8d0d-56651623ad23,4814,23-05-20,No,0.08,Married,0,Master's,Poor,92,Mortgage,183071,2432,0.07,Expert,Healthcare,No,0.18,No,Yes,No,Defined Benefit,Bucket,Online,38.163.244.115,ff15f1fe-967b-4dee-a6f8-666bc94e32d5,North Waltermouth,00:42:14,0.61,No,20
U1028,35,Male,Canada,Part-time,126394,314781,68,High,1410,Quarterly,268,19528,2,Mutual Fund,Payne LLC,4.32,4.76,0.5,637674,30421,54006,20,Yes,fe0653fa-ae09-441d-8874-4d31e1f33c58,8824,12-01-20,No,0.92,Widowed,0,PhD,Poor,92,Mortgage,199383,7364,0.14,Beginner,Legacy Planning,No,0.5,No,No,No,Defined Contribution,Bucket,Online,61.185.192.19,137760ab-c24c-4793-979b-c8d51cfc2e57,Robinsontown,09:48:00,0.17,No,11
U1029,30,Other,UK,Unemployed,77266,199421,60,High,1290,Annually,406,20786,24,Real Estate,"Scott, Martin and Zhang",7.06,2.1,1.79,669272,19073,71468,10,Yes,9a95da65-0e6c-4d6a-b282-890278f3fbf6,4353,08-03-22,No,0.49,Single,0,Master's,Poor,91,Mortgage,128943,6788,0.13,Beginner,Healthcare,Yes,0.12,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,38.123.101.240,42b8ea05-9336-43f9-9f9f-ac5bc06bdb53,East Alberthaven,00:12:45,0.13,No,17
U1030,44,Female,Germany,Unemployed,34655,231593,61,High,732,Quarterly,963,7673,33,Real Estate,Hess and Sons,11.55,4.27,1.52,241409,78683,16564,13,No,64d5c273-7b02-49e9-9666-f7a0c7368d45,1400,14-11-21,No,0.93,Married,3,PhD,Poor,83,Mortgage,143716,6364,0.13,Beginner,Home Purchase,No,0.95,Yes,No,Yes,Defined Benefit,Bucket,ATM,175.221.109.209,082af36f-695d-4255-979c-fccc31cde498,Port Cameron,03:42:24,0.15,No,19
U1031,55,Male,Canada,Part-time,80894,249817,68,High,116,Quarterly,853,7156,24,Stocks,"Stevenson, Nelson and Foster",3.69,1.41,0.11,942870,52695,29787,25,Yes,26906b0b-a93c-42ad-84ff-0c206f57b1d8,1944,12-06-20,No,0.85,Single,3,Bachelor's,Poor,85,Mortgage,126053,1680,0.06,Expert,Legacy Planning,No,0.27,Yes,Yes,Yes,Defined Benefit,Dynamic,Branch,57.61.191.55,634556e9-14d5-4ac1-8ee6-064447fd13eb,Suzanneport,01:55:35,0.43,No,20
U1032,30,Other,UK,Part-time,112746,147258,66,Low,581,Quarterly,379,20809,31,Mutual Fund,Wang Inc,11.41,2.34,0.92,862542,56190,64745,28,No,8832815c-3e75-466a-9ae6-b0487e096b28,1854,13-04-20,Yes,0.82,Married,1,Bachelor's,Good,76,Rent,83583,5302,0.21,Beginner,Healthcare,Yes,0.53,Yes,No,Yes,Defined Benefit,Dynamic,Online,105.85.216.27,53b3f737-f9b0-49ca-85e5-6beb5cf14285,Victoriamouth,22:04:06,0.35,No,25
U1033,44,Other,Germany,Full-time,92306,244109,64,Low,1426,Monthly,23,14635,23,Real Estate,"Lee, Henderson and Washington",5.83,1.36,1.05,923672,52360,15693,23,Yes,35a96f16-3caa-470c-9854-1e1c8104e407,3001,19-10-22,No,0.99,Married,3,High School,Average,91,Own,98140,1019,0.26,Expert,Legacy Planning,No,0.36,Yes,Yes,No,Defined Contribution,Dynamic,ATM,165.70.190.77,9a3c2e0a-641c-427e-807b-bb8f3fb6adce,Stephenton,01:29:10,0.47,No,20
U1034,42,Other,Canada,Unemployed,125574,320606,64,Low,1866,Annually,536,11760,32,Bonds,Robles-Lopez,4.84,4.84,0.59,623159,51338,63551,18,No,6ce9eb94-4e6e-4533-ad25-e2d24d072384,8434,28-11-22,No,0.33,Widowed,3,High School,Average,83,Mortgage,193147,5047,0.24,Beginner,Home Purchase,Yes,0.38,Yes,Yes,Yes,Defined Contribution,Fixed,Online,71.144.193.175,ba4cdfe7-6467-4aa0-924e-f0befe232636,New Mark,13:36:26,0.23,No,15
U1035,41,Female,UK,Self-employed,105444,178240,64,Medium,294,Annually,471,20478,29,Bonds,Campbell-Boyer,10.7,3.59,0.1,722182,24120,32806,12,Yes,8399ba26-a693-4d9f-9d0d-4d545b276e78,4285,18-03-21,No,0.56,Widowed,3,PhD,Poor,91,Mortgage,142675,7764,0.18,Beginner,Travel,Yes,0.73,No,Yes,Yes,Defined Benefit,Bucket,ATM,125.233.58.155,2082c308-5138-4f56-8bea-e613329af25b,Lake Stephanieborough,03:04:57,0.03,No,21
U1036,39,Female,UK,Unemployed,104226,357599,63,High,590,Annually,728,3541,4,Stocks,"Gonzalez, Hudson and Clark",5.23,3.57,0.26,956036,45552,21862,23,No,8fc56e51-8156-4e03-90d1-04a752540e4b,2064,25-08-21,No,0.18,Single,2,Master's,Good,92,Own,13429,9013,0.3,Beginner,Travel,No,0.16,No,Yes,Yes,Defined Benefit,Fixed,ATM,193.248.38.0,25f92780-aa46-4f0a-bfb3-ca818d55bc42,South Brittany,00:18:46,0.67,No,26
U1037,28,Other,UK,Unemployed,45616,419155,69,High,1178,Quarterly,198,15195,16,Bonds,Wilson Ltd,2.35,1.24,1.81,832601,39566,71754,13,No,4807c0c5-2f0b-4cc4-b3c6-c7ac0b626807,1081,13-10-24,No,0.68,Divorced,1,High School,Poor,92,Rent,160442,4276,0.2,Beginner,Legacy Planning,Yes,0.87,No,No,No,Defined Benefit,Bucket,ATM,118.118.113.103,b6cd8dbd-54a8-415a-be1d-9bc970ca8633,Williamsland,10:59:44,0.52,No,3
U1038,26,Female,Australia,Retired,128639,21828,61,High,1439,Quarterly,982,20919,24,ETF,"Brown, Owens and Garcia",11.36,2.37,1.12,300823,54483,69461,15,Yes,9d0ddcd6-88c3-4a90-bfa8-42dd5f76fedd,9825,25-12-21,No,0.7,Single,4,Bachelor's,Poor,90,Own,192624,5533,0.14,Beginner,Home Purchase,No,0.92,Yes,No,Yes,Defined Contribution,Dynamic,Online,13.240.253.87,69b683be-0f08-481b-8180-8c615fba93d4,Fitzgeraldburgh,19:54:38,0.28,No,29
U1039,48,Other,Canada,Retired,39609,416376,63,High,931,Quarterly,251,23345,13,Stocks,Burns-Wilson,2.99,4.75,1.93,72670,50238,45987,23,No,60377ac0-f6ad-4eaf-a207-6c72c55bf904,8673,18-10-21,No,0.79,Married,0,PhD,Poor,86,Own,44095,9169,0.27,Beginner,Home Purchase,No,0.11,No,No,Yes,Defined Contribution,Fixed,ATM,110.214.46.7,09335e69-abb2-489f-9a12-1f5c4b11e608,Davidsonhaven,17:25:30,0.37,No,20
U1040,33,Male,USA,Self-employed,120510,200486,65,High,1136,Annually,327,6980,4,ETF,"Jenkins, Gomez and Smith",8.86,3.61,0.28,206462,34382,9134,24,No,edb172d4-9755-4458-ac36-bb1e72af9a18,2161,02-01-21,No,0.46,Divorced,3,Bachelor's,Good,79,Own,130900,4306,0.2,Expert,Home Purchase,Yes,0.95,Yes,No,Yes,Defined Contribution,Fixed,Branch,166.62.143.129,e78b05d3-5217-4d9f-8c40-af4b0ce97f5c,Colemanberg,16:12:25,0.38,No,29
U1041,31,Female,USA,Full-time,46031,283273,69,Low,1767,Monthly,578,1720,17,Stocks,"Gibson, Smith and Mcdonald",3.89,3.12,0.98,594136,23837,17288,19,Yes,ffb1317d-a85f-41b3-963b-b2950fa79f0c,6449,23-02-24,No,0.87,Divorced,1,Bachelor's,Average,90,Rent,47419,6399,0.05,Beginner,Home Purchase,No,0.27,No,Yes,No,Defined Benefit,Dynamic,Branch,56.58.185.175,0fd6c06b-ace7-45d0-9cfa-98515bb435c8,Cookberg,19:45:01,0.51,No,24
U1042,62,Other,Canada,Retired,137585,223823,66,Low,792,Monthly,568,5041,13,Stocks,Love Group,11.64,3.12,0.58,158923,44753,61290,27,Yes,280f89a8-3ac1-45af-9e00-024721af0684,3729,18-04-23,No,0.47,Divorced,4,High School,Poor,79,Own,150530,4505,0.26,Beginner,Legacy Planning,No,0.31,Yes,No,No,Defined Benefit,Bucket,Online,222.118.227.108,d270507e-0401-4257-b47f-16910093f480,Baileyshire,17:00:06,0.54,No,2
U1043,50,Female,Germany,Retired,82315,403337,61,Medium,1910,Quarterly,945,22254,22,Bonds,"Noble, Mcgee and King",5.76,2.55,0.46,577832,70748,58127,22,Yes,a926f790-c379-4c5f-87d4-0f2cdf9df1d4,8072,14-06-25,No,0.94,Widowed,2,Master's,Average,78,Mortgage,117455,2740,0.09,Expert,Legacy Planning,No,0.49,Yes,No,Yes,Defined Benefit,Bucket,Branch,103.47.200.193,9116ddeb-8959-4dcb-b49b-c0e0e06acc59,South Tommy,12:20:46,0.8,No,21
U1044,39,Female,Germany,Self-employed,141984,449119,67,Medium,936,Annually,654,23345,23,Mutual Fund,"Maxwell, Steele and Bryant",3.7,0.62,0.54,482379,49457,53341,11,Yes,e5cf0275-1e13-44e7-9298-bf04b5205c6b,8631,24-04-20,No,0.65,Divorced,2,Bachelor's,Good,76,Own,196625,2855,0.11,Beginner,Healthcare,No,0.95,No,Yes,Yes,Defined Contribution,Bucket,Branch,146.14.55.180,65e80013-0f5c-4271-92a9-d05440d0074c,Lesliemouth,01:30:29,0.87,No,5
U1045,43,Male,Germany,Part-time,55347,39152,69,High,1746,Quarterly,312,17149,28,ETF,Garcia-Curry,9.08,4.19,0.66,699892,27303,58024,11,No,cd4f71e9-8150-471b-bc4a-cf26f25b0d43,2855,20-10-20,No,0.86,Married,3,High School,Average,75,Own,121331,2721,0.17,Intermediate,Travel,No,0.24,Yes,Yes,No,Defined Contribution,Bucket,Branch,45.214.157.82,2c59bee4-ad03-40ae-a837-25bb6c1527d2,Penaburgh,07:18:51,0.52,No,14
U1046,57,Male,Canada,Self-employed,107717,152786,62,Low,1501,Quarterly,453,1570,39,ETF,Yu-Mathews,2.54,4.73,0.3,666812,28881,73463,11,Yes,9827b141-f4ee-4911-b4bb-5f0c1c668303,4286,11-12-22,No,0.51,Married,2,PhD,Poor,87,Rent,127921,3812,0.19,Intermediate,Healthcare,Yes,0.75,Yes,No,Yes,Defined Contribution,Bucket,Branch,176.122.231.213,82ba2fb0-412d-4f71-bf47-3fe6b04bf93c,Frankfort,20:46:04,0.96,No,24
U1047,51,Female,Germany,Retired,132701,117639,62,Medium,175,Annually,119,8754,8,Real Estate,"Jacobs, Martin and Brown",3.05,0.97,1.21,524967,16235,52024,23,No,bec4c672-82e6-4ede-8b0a-68bbabc7688c,1014,13-06-21,No,0.79,Single,2,Bachelor's,Average,94,Own,121572,5390,0.1,Expert,Home Purchase,Yes,0.22,Yes,No,No,Defined Contribution,Dynamic,ATM,198.12.87.166,e8c6a1fd-124c-4745-976a-bde354e34fa7,New Krista,19:00:04,0.27,No,3
U1048,43,Male,Germany,Self-employed,98464,89352,64,Low,335,Monthly,508,15007,3,Bonds,Howard Group,6.63,4.47,0.56,245692,68042,29229,28,Yes,f7202b68-6763-4569-830b-2b0c30a2c0c3,1082,03-10-24,No,0.56,Married,1,High School,Good,84,Mortgage,4656,8365,0.24,Intermediate,Healthcare,Yes,0.33,Yes,No,No,Defined Contribution,Dynamic,Online,146.159.59.4,3dd9850a-ea21-4c71-9f12-4ca24fee0ba3,Martinezside,15:20:17,0.2,No,14
U1049,31,Male,UK,Retired,72556,219798,62,Medium,121,Monthly,724,23801,39,Real Estate,Gould LLC,8.12,4.24,1.36,243136,39897,74080,28,Yes,13b091ba-7601-4d87-935c-964914a71157,8696,14-10-24,No,0.48,Married,1,Master's,Poor,81,Rent,64843,8238,0.17,Beginner,Travel,No,0.6,No,No,No,Defined Contribution,Bucket,Branch,59.210.231.194,b625f8be-fc19-495c-915c-9fd782e5844f,Perryborough,22:12:39,0.81,No,29
